"Nama UPT","Alamat"
"Loka POM di Kabupaten Rejang Lebong","Jl. Basuki Rahmat No.20, Keluarahan Dwitunggal, Kecamatan Curup, Rejang Lebong (39112)"
"Loka POM di Kabupaten Pulau Morotai","Ds. Darame Kab. Pulau Morotai"
"Loka POM di Kabupaten Mimika","Timika Jaya, Mimika Baru, Mimika Regency, Papua 99971"
"Loka POM di Kabupaten Merauke","Jl. Garuda Mopah Lama, Leproseri Merauke Papua"
"Loka POM di Kabupaten Manggarai Barat","Jl. Frans Sales Lega (Kompleks Kantor Bupati Manggarai Barat) Kec. Komodo Kel. Wae Kelambu Labuan Bajo-NTT"
"Loka POM di Kabupaten Kotawaringin Barat","Jl. Ahmad Wongso No.01-03 Kel. Madurejo, Kec. Arut Selatan, Pangkalan Bun Kalimantan Tengah"
"Loka POM di Kabupaten Kepulauan Tanimbar","Jalan Ir. Soekarno, Jalan Poros, Saumlaki, Kab. Maluku Tenggara Barat, Maluku"
"Loka POM di Kabupaten Kepulauan Sangihe","Jalan Manente Kel Manente Kec Tahuna RT 005/RW 03 Kabupaten Kepulauan Sangihe"
"Loka POM di Kabupaten Kediri","Jalan P. Kusuma Bangsa 42, Kediri, Kediri 64129"
"Loka POM di Kabupaten Sanggau","Jl. Jend. Sudirman No 70 Sanggau"
"Loka POM di Kabupaten Indragiri Hilir","Jalan Sei Beringin, Parit 15 Tembilahan"
"Loka POM di Kabupaten Hulu Sungai Utara","Jalan H. Saberan Effendi No. 70 Amuntai, Kalsel 71418"
"Loka POM di Kabupaten Ende","Jl. Eltari, Kel. Paupire, Ende Tengah, Kabupaten Ende, Nusa Tenggara Timur"
"Loka POM di Kabupaten Dharmasraya","Jalan Lintas Sumatera KM 5 Sikabau, Kec. Pulau Punjung"
"Loka POM di Kabupaten Buleleng","Jalan Gunung Agung No. 25 Singaraja, Kab. Buleleng, Bali 81117"
"Loka POM di Kabupaten Bogor","Jl. Raya Karanggan No. 1001. Citeureup, Kabupaten Bogor, Bogor 16810"
"Loka POM di Kabupaten Bima","Jl. Sultan Salahudin, Ds. Panda, Kec. Palibelo, Kab.Bima, NTB"
"Loka POM di Kabupaten Belitung","Pangkal Lalang, Tanjung Pandan, Belitung Regency, Bangka Belitung Islands 33411"
"Loka POM di Kota Lubuklinggau","Jl. Garuda No. 149 Lubuk Aman Kota Lubuklinggau, Lubuklinggau 31614"
"Loka POM di Kota Tasikmalaya","Jl. Dinding Ari Raya No. 11, Bumi Resik Panglayungan, Tasikmalaya 46134"
"Loka POM di Kota Tarakan","Jalan Yos Sudarso, Sebengkok, Tarakan Tengah, Kota Tarakan, Kalimantan Utara"
